"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"A16.7"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	28	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculous meningitis"	"A17.0"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Other tuberculosis of nervous system"	"A17.8"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of bones and joints"	"A18.0"	10	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of other specified organs"	"A18.8"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Miliary tuberculosis, unspecified"	"A19.9"	10	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"			89	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Pasteurellosis"	"A28.0"	2	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"			2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Pulmonary mycobacterial infection"	"A31.0"	18	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other mycobacterial infections"	"A31.8"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Mycobacterial infection, unspecified"	"A31.9"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Listerial meningitis and meningoencephalitis"	"A32.1"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Listeriosis, unspecified"	"A32.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Meningococcal meningitis"	"A39.0"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Waterhouse-Friderichsen syndrome"	"A39.1"	8	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Acute meningococcaemia"	"A39.2"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Meningococcaemia, unspecified"	"A39.4"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to streptococcus, group A"	"A40.0"	12	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to streptococcus, group B"	"A40.1"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to streptococcus, group D"	"A40.2"	9	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	22	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other streptococcal septicaemia"	"A40.8"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Streptococcal septicaemia, unspecified"	"A40.9"	22	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	83	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to other specified staphylococcus"	"A41.1"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to unspecified staphylococcus"	"A41.2"	20	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to Haemophilus influenzae"	"A41.3"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to anaerobes"	"A41.4"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	106	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other specified septicaemia"	"A41.8"	12	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Septicaemia, unspecified"	"A41.9"	3067	83256835	3.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Pulmonary actinomycosis"	"A42.0"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Pulmonary nocardiosis"	"A43.0"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other forms of nocardiosis"	"A43.8"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Nocardiosis, unspecified"	"A43.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Gas gangrene"	"A48.0"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Legionnaires disease"	"A48.1"	26	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Toxic shock syndrome"	"A48.3"	9	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Staphylococcal infection, unspecified"	"A49.0"	57	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Streptococcal infection, unspecified"	"A49.1"	28	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Haemophilus influenzae infection, unspecified"	"A49.2"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other bacterial infections of unspecified site"	"A49.8"	15	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Bacterial infection, unspecified"	"A49.9"	55	83256835	0.1
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"			3609	83256835	4.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	"Cardiovascular syphilis"	"A52.0"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	"Symptomatic neurosyphilis"	"A52.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	"Neurosyphilis, unspecified"	"A52.3"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	"Other gonococcal infections"	"A54.8"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"	"Anogenital (venereal) warts"	"A63.0"	2	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Infections with a predominantly sexual mode of transmission"	"A50-A64"			11	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other spirochaetal diseases"	"A65-A69"	"Other Vincent infections"	"A69.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other spirochaetal diseases"	"A65-A69"	"Lyme disease"	"A69.2"	2	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other spirochaetal diseases"	"A65-A69"			3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Rickettsioses"	"A75-A79"	"Other spotted fevers"	"A77.8"	3	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Rickettsioses"	"A75-A79"			3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	"Creutzfeldt-Jakob disease - CJD"	"A81.0"	43	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	"Progressive multifocal leukoencephalopathy"	"A81.2"	14	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	"Unspecified viral encephalitis"	"A86"	12	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	"Lymphocytic choriomeningitis"	"A87.2"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"	"Viral meningitis, unspecified"	"A87.9"	2	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections of the central nervous system"	"A80-A89"			73	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"	"West Nile fever"	"A92.3"	9	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Arthropod-borne viral fevers and viral haemorrhagic fevers"	"A90-A99"			9	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	"Herpesviral encephalitis"	"B00.4"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	"Other forms of herpesviral infection"	"B00.8"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	"Herpesviral infection, unspecified"	"B00.9"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	"Disseminated zoster"	"B02.7"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"	"Zoster without complication"	"B02.9"	3	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral infections characterized by skin and mucous membrane lesions"	"B00-B09"			16	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Hepatitis A without hepatic coma"	"B15.9"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Acute hepatitis B without delta-agent with hepatic coma"	"B16.2"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	96	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Acute hepatitis C"	"B17.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Acute hepatitis E"	"B17.2"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Acute viral hepatitis, unspecified"	"B17.9"	18	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Chronic viral hepatitis B without delta-agent"	"B18.1"	29	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Chronic viral hepatitis C"	"B18.2"	1196	83256835	1.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Other chronic viral hepatitis"	"B18.8"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Chronic viral hepatitis, unspecified"	"B18.9"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Unspecified viral hepatitis hepatic with coma"	"B19.0"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	13	83256835	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Viral hepatitis"	"B15-B19"			1367	83256835	1.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in mycobacterial infection"	"B20.0"	24	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other bacterial infections"	"B20.1"	227	83256835	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other viral infections"	"B20.3"	121	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in candidiasis"	"B20.4"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other mycoses"	"B20.5"	47	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	70	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in multiple infections"	"B20.7"	357	83256835	0.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	221	83256835	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in unspecified infectious or parasitic disease"	"B20.9"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease with Kaposi sarcoma"	"B21.0"	30	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease with Burkitt lymphoma"	"B21.1"	9	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	79	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	17	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in multiple malignant neoplasms"	"B21.7"	6	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other malignant neoplasms"	"B21.8"	68	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in unspecified malignant neoplasm"	"B21.9"	19	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in encephalopathy"	"B22.0"	46	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in wasting syndrome"	"B22.2"	30	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	276	83256835	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	58	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"HIV disease resulting in other specified conditions"	"B23.8"	529	83256835	0.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	558	83256835	0.7
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Human immunodeficiency virus [HIV] disease"	"B20-B24"			2802	83256835	3.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Cytomegaloviral pneumonitis"	"B25.0"	8	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Other cytomegaloviral diseases"	"B25.8"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Cytomegaloviral disease, unspecified"	"B25.9"	6	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Gammaherpesviral mononucleosis"	"B27.0"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Infectious mononucleosis, unspecified"	"B27.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Viral carditis"	"B33.2"	13	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Retrovirus infections, not elsewhere classified"	"B33.3"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Hantavirus (cardio)-pulmonary syndrome [HPS][HCPS]"	"B33.4"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Adenovirus infection, unspecified"	"B34.0"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Coronavirus infection, unspecified"	"B34.2"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Other viral infections of unspecified site"	"B34.8"	15	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"	"Viral infection, unspecified"	"B34.9"	26	83256835	0.0
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Other viral diseases"	"B25-B34"			82	83256835	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Candidiasis of other urogenital sites"	"B37.4"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Candidal endocarditis"	"B37.6"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Candidal septicaemia"	"B37.7"	20	83256835	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Candidiasis, unspecified"	"B37.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Acute pulmonary coccidioidomycosis"	"B38.0"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Pulmonary coccidioidomycosis, unspecified"	"B38.2"	7	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Cutaneous coccidioidomycosis"	"B38.3"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Coccidioidomycosis meningitis"	"B38.4"	5	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Disseminated coccidioidomycosis"	"B38.7"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Coccidioidomycosis, unspecified"	"B38.9"	6	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Pulmonary histoplasmosis capsulati, unspecified"	"B39.2"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Histoplasmosis capsulati, unspecified"	"B39.4"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Histoplasmosis, unspecified"	"B39.9"	8	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Pulmonary blastomycosis, unspecified"	"B40.2"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Disseminated blastomycosis"	"B40.7"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Blastomycosis, unspecified"	"B40.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Invasive pulmonary aspergillosis"	"B44.0"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Other pulmonary aspergillosis"	"B44.1"	11	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Disseminated aspergillosis"	"B44.7"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Other forms of aspergillosis"	"B44.8"	3	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Aspergillosis, unspecified"	"B44.9"	10	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Pulmonary cryptococcosis"	"B45.0"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Cerebral cryptococcosis"	"B45.1"	14	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Disseminated cryptococcosis"	"B45.7"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Cryptococcosis, unspecified"	"B45.9"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Pulmonary mucormycosis"	"B46.0"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Rhinocerebral mucormycosis"	"B46.1"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Disseminated mucormycosis"	"B46.4"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Mucormycosis, unspecified"	"B46.5"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Actinomycetoma"	"B47.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mycoses"	"B35-B49"	"Unspecified mycosis"	"B49"	47	83256835	0.1
